resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,participant,session,droitier (D) ou gaucher (G) ?,Age ?,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,34.41337,o,2.46882,0,0,0,9,1,images/5.png,5,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,o,1.475195,0,1,1,5,1,images/10.png,10,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.768335,0,2,2,10,1,images/-6.png,-6,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.633155,0,3,3,1,1,images/-3.png,-3,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.400035,0,4,4,11,1,images/3.png,3,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.51511,0,5,5,14,1,images/5.png,5,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.290985,0,6,6,7,1,images/-1.png,-1,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.292235,0,7,7,13,1,images/-6.png,-6,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.59337,0,8,8,4,1,images/2.png,2,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.85969,0,9,9,6,1,images/0.png,0,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.371935,0,10,10,0,1,images/-10.png,-10,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,1.17367,0,11,11,8,1,images/-3.png,-3,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,o,0.712675,0,12,12,12,1,images/1.png,1,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
,,e,0.43314,0,13,13,3,1,images/-4.png,-4,JJ,001,D,44,2020-12-08_22h18.19.422,lm,2020.2.8,Win32,60,,,,,,,
