resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,jitter_x_cm,jitter_x_norm,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,131.821,right,4.882,0,0,0,3,1,images/l2.png,-2,-0.3,-0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,left,3.431,0,1,1,1,1,images/l8.png,-8,0,0,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,left,2.666,0,2,2,0,1,images/l8.png,-8,-0.3,-0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.933,0,3,3,2,1,images/l4.png,-4,-0.15,-0.01875,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,left,2.934,0,4,4,6,1,images/l1.png,-1,0.3,0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.802,0,5,5,5,1,images/l2.png,-2,0.15,0.01875,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.385,0,6,6,9,1,images/r2.png,2,-0.15,-0.01875,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,2.332,0,7,7,8,1,images/r1.png,1,0.3,0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.521,0,8,8,4,1,images/l2.png,-2,-0.15,-0.01875,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.066,0,9,9,7,1,images/0.png,0,-0.15,-0.01875,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.941,0,10,10,13,1,images/r8.png,8,0.3,0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.954,0,11,11,12,1,images/r8.png,8,0,0,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.986,0,12,12,11,1,images/r4.png,4,-0.3,-0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,2.606,0,13,13,10,1,images/r2.png,2,0.15,0.01875,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,,,,,
,,right,2.806,,,,,,images/l2.png,-2,-0.3,-0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,space,12.077,0,0,0,10,1
,,left,1.644,,,,,,images/l8.png,-8,-0.15,-0.01875,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,0,1,1,1,1
,,left,1.253,,,,,,images/l8.png,-8,0.3,0.0375,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,0,2,2,4,1
,,left,2.662,,,,,,images/0.png,0,0,0,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,0,3,3,22,1
,,right,1.288,,,,,,images/r8.png,8,0,0,sabineLaf,001,2020-11-27_17h51.18.953,lm,2020.2.8,Win32,60,,,0,4,4,42,1
