resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,jitter_x_cm,jitter_x_norm,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,145.106,left,2.511,0,0,0,0,1,images/l8.png,-8,-0.3,-0.0375,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.927,0,1,1,4,1,images/l2.png,-2,-0.15,-0.01875,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,37.577,0,2,2,9,1,images/r2.png,2,-0.15,-0.01875,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,2.435,0,3,3,3,1,images/l2.png,-2,-0.3,-0.0375,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,2.042,0,4,4,2,1,images/l4.png,-4,-0.15,-0.01875,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,right,6.658,0,5,5,8,1,images/r1.png,1,0.3,0.0375,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,0.933,0,6,6,5,1,images/l2.png,-2,0.15,0.01875,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.706,0,7,7,12,1,images/r8.png,8,0,0,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,0.807,0,8,8,1,1,images/l8.png,-8,0,0,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.851,0,9,9,6,1,images/l1.png,-1,0.3,0.0375,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,right,2.461,0,10,10,11,1,images/r4.png,4,-0.3,-0.0375,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.756,0,11,11,10,1,images/r2.png,2,0.15,0.01875,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.589,0,12,12,7,1,images/0.png,0,-0.15,-0.01875,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.913,0,13,13,13,1,images/r8.png,8,0.3,0.0375,marcLaf,001,2020-11-27_19h17.09.406,lm,2020.2.8,Win32,60,,,,,,,
